Web Search interest: ebola
Jamaica; United States
Past 12 months

Interest over time
Week,Jamaica,United States
2013-10-27 - 2013-11-02,0,0
2013-11-03 - 2013-11-09,0,0
2013-11-10 - 2013-11-16,0,0
2013-11-17 - 2013-11-23,0,0
2013-11-24 - 2013-11-30,0,0
2013-12-01 - 2013-12-07,0,0
2013-12-08 - 2013-12-14,0,0
2013-12-15 - 2013-12-21,0,0
2013-12-22 - 2013-12-28,0,0
2013-12-29 - 2014-01-04,0,0
2014-01-05 - 2014-01-11,0,0
2014-01-12 - 2014-01-18,0,0
2014-01-19 - 2014-01-25,0,0
2014-01-26 - 2014-02-01,0,0
2014-02-02 - 2014-02-08,0,0
2014-02-09 - 2014-02-15,0,0
2014-02-16 - 2014-02-22,0,0
2014-02-23 - 2014-03-01,0,0
2014-03-02 - 2014-03-08,0,0
2014-03-09 - 2014-03-15,0,0
2014-03-16 - 2014-03-22,0,0
2014-03-23 - 2014-03-29,0,0
2014-03-30 - 2014-04-05,0,0
2014-04-06 - 2014-04-12,0,0
2014-04-13 - 2014-04-19,1,0
2014-04-20 - 2014-04-26,0,0
2014-04-27 - 2014-05-03,0,0
2014-05-04 - 2014-05-10,0,0
2014-05-11 - 2014-05-17,0,0
2014-05-18 - 2014-05-24,0,0
2014-05-25 - 2014-05-31,0,0
2014-06-01 - 2014-06-07,0,0
2014-06-08 - 2014-06-14,0,0
2014-06-15 - 2014-06-21,0,0
2014-06-22 - 2014-06-28,0,0
2014-06-29 - 2014-07-05,0,0
2014-07-06 - 2014-07-12,0,0
2014-07-13 - 2014-07-19,0,0
2014-07-20 - 2014-07-26,0,0
2014-07-27 - 2014-08-02,12,9
2014-08-03 - 2014-08-09,15,10
2014-08-10 - 2014-08-16,9,3
2014-08-17 - 2014-08-23,5,3
2014-08-24 - 2014-08-30,3,2
2014-08-31 - 2014-09-06,3,2
2014-09-07 - 2014-09-13,3,1
2014-09-14 - 2014-09-20,6,2
2014-09-21 - 2014-09-27,18,2
2014-09-28 - 2014-10-04,100,22
2014-10-05 - 2014-10-11,71,24
2014-10-12 - 2014-10-18,93,39
2014-10-19 - 2014-10-25,51,19


Top subregions for Jamaica
Subregion,Jamaica
Saint James Parish,100
Saint Andrew Parish,91
Kingston Parish,0
Saint Thomas Parish,0
Portland Parish,0
Saint Mary Parish,0
Saint Ann Parish,0
Trelawny Parish,0
Hanover Parish,0
Westmoreland Parish,0
Saint Elizabeth Parish,0
Manchester Parish,0
Clarendon Parish,0
Saint Catherine Parish,0

Top subregions for United States
Subregion,United States
District of Columbia,100
Oklahoma,97
Texas,79
Hawaii,74
Virginia,74
Kentucky,63
Louisiana,60
Georgia,60
Ohio,57
Maryland,56
Alabama,55
Arkansas,54
South Carolina,53
New York,53
South Dakota,52
Massachusetts,51
Illinois,51
Nebraska,51
Wyoming,50
Washington,50
West Virginia,50
Tennessee,49
Maine,49
Delaware,49
Florida,49
Pennsylvania,49
Rhode Island,49
North Carolina,49
California,49
Montana,48
Missouri,48
Colorado,48
Kansas,48
Michigan,48
North Dakota,48
Alaska,48
New Mexico,48
New Jersey,48
Wisconsin,46
Minnesota,46
Arizona,46
Connecticut,45
Vermont,45
Nevada,45
Indiana,45
New Hampshire,42
Iowa,42
Mississippi,40
Utah,40
Idaho,40
Oregon,27


Top cities for Jamaica
City,Jamaica
Kingston,100
Montego Bay,88

Top cities for United States
City,United States
Goldsby,100
Richardson,55
Augusta,32
Grapevine,29
Fresno,28
Brookneal,26
Washington,22
Leesburg,21
Honolulu,21
Dallas,16
Westland,16
New Orleans,15
Louisville,15
Alexandria,15
Houston,14



Top searches for Jamaica
ebola virus,100
ebola jamaica,60
ebola in jamaica,45
what is ebola,25
ebola symptoms,25
chikungunya,20
ebola outbreak,20
ebola news,15
the ebola virus,15

Top searches for United States
virus ebola,100
ebola symptoms,45
ebola outbreak,40
us ebola,30
what is ebola,30
ebola news,25
ebola in us,20
ebola dallas,15
ebola texas,15
ebola 2014,15
symptoms of ebola,15
ebola patient,10
ebola africa,10
cdc ebola,10
cdc,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola disease,5
ebola nurse,5
ebola airborne,5
ebola zombie,5
ebola map,5
ebola cure,5
ebola virus symptoms,5
ebola in texas,5
cnn ebola,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola in dallas,5
ebola virus outbreak,5
ebola outbreak 2014,5
ebola in usa,5
ebola vaccine,5
ebola victim,5
ebola new york,5
ebola united states,5
liberia ebola,5
is ebola airborne,5
ebola nigeria,5
ebola pictures,5
ebola ohio,5
cure for ebola,5
ebola treatment,5
ebola victims,5
ebola atlanta,5
ebola facts,5
signs of ebola,5
ebola transmission,5



Rising searches for Jamaica
chikungunya,Breakout
ebola in jamaica,Breakout
ebola jamaica,Breakout
ebola news,Breakout
ebola outbreak,Breakout
ebola symptoms,Breakout
ebola virus,Breakout
the ebola virus,Breakout
what is ebola,Breakout

Rising searches for United States
ebola 2014,Breakout
ebola dallas,Breakout
ebola nurse,Breakout
ebola texas,Breakout
ebola news,+450%
ebola patient,+400%
ebola usa,+400%
us ebola,+300%
ebola in us,+250%
ebola cases,+190%



